,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Tatan,CCGT,CCGT,PP,TW,7544.5,,,,,,2006,,,25.0253,121.0458,,,
1,Tunghsiao,CCGT,CCGT,PP,TW,2999.0,,,,,,2025,,,24.4906,120.6714,,,
2,Tunghsiao GT,OCGT,OCGT,PP,TW,180.9,,,,,,2025,,,24.4906,120.6714,,,
3,Hsinta new CC,CCGT,CCGT,PP,TW,1300.0,,,,,,2025,,,22.8523,120.1973,,,
4,Hsinta CC,CCGT,CCGT,PP,TW,2226.0,,,,,,1998,,,22.8523,120.1973,,,
5,Nanpu,CCGT,CCGT,PP,TW,1117.8,,,,,,1995,,,22.6005,120.3005,,,
6,Talin gas,CCGT,CCGT,PP,TW,550.0,,,,,,2025,,,22.5353,120.3337,,,
7,Hai-Fu (Ever Power),CCGT,CCGT,PP,TW,900.0,,,,,,1999,,,25.1159,121.2567,,,
8,Hsintao,CCGT,CCGT,PP,TW,630.0,,,,,,2002,,,24.8141,121.1979,,,
9,Kuokuang,CCGT,CCGT,PP,TW,480.0,,,,,,2003,,,25.0419,121.3424,,,
10,Star Buck (Changbin),CCGT,CCGT,PP,TW,506.9,,,,,,2009,,,24.1271,120.4317,,,
11,Star Yuan (Changbin),CCGT,CCGT,PP,TW,549.1,,,,,,2004,,,24.1287,120.4214,,,
12,Chiahui,CCGT,CCGT,PP,TW,1210.0,,,,,,2003,,,23.5332,120.4732,,,
13,Sun Ba Fong Der,CCGT,CCGT,PP,TW,2113.8,,,,,,2004,,,23.0822,120.3564,,,
14,Linkou,Hard Coal,Steam Turbine,PP,TW,2400.0,,,,,,2016,,,25.12,121.2991,,,
15,Taichung coal,Hard Coal,Steam Turbine,PP,TW,5500.0,,,,,,1991,,,24.2152,120.4815,,,
16,Hsinta coal,Hard Coal,Steam Turbine,PP,TW,550.0,,,,,,1982,,,22.8523,120.1973,,,
17,Talin coal,Hard Coal,Steam Turbine,PP,TW,800.0,,,,,,2025,,,22.5353,120.3337,,,
18,Talin coal,Hard Coal,Steam Turbine,PP,TW,800.0,,,,,,2025,,,22.5353,120.3337,,,
19,Ho-Ping,Hard Coal,Steam Turbine,PP,TW,1308.6,,,,,,2002,,,24.3066,121.7657,,,
20,Hsieh-ho,Oil,Steam Turbine,PP,TW,1000.0,,,,,,2025,,,25.1569,121.7387,,,
21,Taichung GT (oil),Oil,OCGT,PP,TW,280.0,,,,,,2025,,,24.2152,120.4815,,,
22,Guanyuan wind,Wind,Onshore,PP,TW,30.0,,,,,,2005,,,25.0669,121.1106,,,
23,Taichung Port wind,Wind,Onshore,PP,TW,35.0,,,,,,2005,,,24.3083,120.5356,,,
24,Wanggong wind,Wind,Onshore,PP,TW,23.0,,,,,,2010,,,23.9832,120.3345,,,
25,Changkong wind,Wind,Onshore,PP,TW,86.2,,,,,,2007,,,24.1128,120.4076,,,
26,Yunmai wind,Wind,Onshore,PP,TW,46.0,,,,,,2025,,,23.8155,120.2554,,,
27,Sihu wind,Wind,Onshore,PP,TW,28.0,,,,,,2010,,,23.6616,120.1571,,,
28,Other Taipower wind,Wind,Onshore,PP,TW,84.7,,,,,,2025,,,24.1128,120.4076,,,
29,Miaoli Dapeng wind,Wind,Onshore,PP,TW,42.0,,,,,,2005,,,24.6086,120.7306,,,
30,Luwei Changbin wind,Wind,Onshore,PP,TW,55.2,,,,,,2007,,,24.1544,120.427,,,
31,Guanwei/Taowei wind,Wind,Onshore,PP,TW,48.3,,,,,,2010,,,25.0264,121.0428,,,
