,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,Tatan,CCGT,CCGT,PP,TW,7544.5,,,,,,2006,,,25.0253,121.0458,,,
1,Tunghsiao,CCGT,CCGT,PP,TW,2677.8,,,,,,2025,,,24.4906,120.6714,,,
2,Tunghsiao GT,OCGT,OCGT,PP,TW,180.9,,,,,,2025,,,24.4906,120.6714,,,
3,Taichung new CC,CCGT,CCGT,PP,TW,2600.0,,,,,,2026,,,24.2152,120.4815,,,
4,Hsinta new CC,CCGT,CCGT,PP,TW,2600.0,,,,,,2025,,,22.8523,120.1973,,,
5,Hsinta CC,CCGT,CCGT,PP,TW,2226.0,,,,,,1998,,,22.8523,120.1973,,,
6,Talin gas,CCGT,CCGT,PP,TW,550.0,,,,,,2025,,,22.5353,120.3337,,,
7,Hai-Fu (Ever Power),CCGT,CCGT,PP,TW,900.0,,,,,,1999,,,25.1159,121.2567,,,
8,Hsintao,CCGT,CCGT,PP,TW,630.0,,,,,,2002,,,24.8141,121.1979,,,
9,Star Buck (Changbin),CCGT,CCGT,PP,TW,506.9,,,,,,2009,,,24.1271,120.4317,,,
10,Star Yuan (Changbin),CCGT,CCGT,PP,TW,549.1,,,,,,2004,,,24.1287,120.4214,,,
11,Chiahui,CCGT,CCGT,PP,TW,1210.0,,,,,,2003,,,23.5332,120.4732,,,
12,Sun Ba Fong Der,CCGT,CCGT,PP,TW,2113.8,,,,,,2004,,,23.0822,120.3564,,,
13,Linkou,Hard Coal,Steam Turbine,PP,TW,2400.0,,,,,,2016,,,25.12,121.2991,,,
14,Taichung coal,Hard Coal,Steam Turbine,PP,TW,1100.0,,,,,,1991,,,24.2152,120.4815,,,
15,Talin coal,Hard Coal,Steam Turbine,PP,TW,800.0,,,,,,2025,,,22.5353,120.3337,,,
16,Talin coal,Hard Coal,Steam Turbine,PP,TW,800.0,,,,,,2025,,,22.5353,120.3337,,,
17,Ho-Ping,Hard Coal,Steam Turbine,PP,TW,1308.6,,,,,,2002,,,24.3066,121.7657,,,
18,Taichung GT (oil),Oil,OCGT,PP,TW,280.0,,,,,,2025,,,24.2152,120.4815,,,
19,Guanyuan wind,Wind,Onshore,PP,TW,36.4,,,,,,2005,,,25.0669,121.1106,,,
20,Taichung Port wind,Wind,Onshore,PP,TW,42.5,,,,,,2005,,,24.3083,120.5356,,,
21,Wanggong wind,Wind,Onshore,PP,TW,27.9,,,,,,2010,,,23.9832,120.3345,,,
22,Changkong wind,Wind,Onshore,PP,TW,104.6,,,,,,2007,,,24.1128,120.4076,,,
23,Yunmai wind,Wind,Onshore,PP,TW,55.8,,,,,,2025,,,23.8155,120.2554,,,
24,Sihu wind,Wind,Onshore,PP,TW,34.0,,,,,,2010,,,23.6616,120.1571,,,
25,Other Taipower wind,Wind,Onshore,PP,TW,102.7,,,,,,2025,,,24.1128,120.4076,,,
26,Miaoli Dapeng wind,Wind,Onshore,PP,TW,50.9,,,,,,2005,,,24.6086,120.7306,,,
27,Luwei Changbin wind,Wind,Onshore,PP,TW,67.0,,,,,,2007,,,24.1544,120.427,,,
28,Guanwei/Taowei wind,Wind,Onshore,PP,TW,58.6,,,,,,2010,,,25.0264,121.0428,,,
29,Zhongwei Da'an wind,Wind,Onshore,PP,TW,92.1,,,,,,2008,,,24.397,120.593,,,
30,Chuangwei wind,Wind,Onshore,PP,TW,59.7,,,,,,2009,,,23.8138,120.2639,,,
31,Hsinyuan Lunbei wind,Wind,Onshore,PP,TW,30.6,,,,,,2023,,,23.8092,120.3401,,,
32,Other purchased onshore wind,Wind,Onshore,PP,TW,216.4,,,,,,2025,,,24.1128,120.4076,,,
33,Taipower offshore phase 1,Wind,Offshore,PP,TW,449.1,,,,,,2021,,,23.9646,120.2383,,,
34,Formosa 1,Wind,Offshore,PP,TW,526.4,,,,,,2019,,,24.7107,120.8122,,,
35,Formosa 2,Wind,Offshore,PP,TW,1546.3,,,,,,2023,,,24.772,120.6472,,,
36,Greater Changhua 1,Wind,Offshore,PP,TW,2488.8,,,,,,2023,,,24.1537,119.9494,,,
37,Greater Changhua 2a,Wind,Offshore,PP,TW,1212.3,,,,,,2023,,,24.1575,119.8278,,,
38,Greater Changhua 2b (assumed),Wind,Offshore,PP,TW,1386.3,,,,,,2025,,,24.23,120.0,,,
39,Changfang Xidao 1,Wind,Offshore,PP,TW,394.8,,,,,,2022,,,24.1115,120.2042,,,
40,Changfang Xidao 2,Wind,Offshore,PP,TW,2052.9,,,,,,2022,,,24.1115,120.2042,,,
41,Yunlin (Yunneng) A,Wind,Offshore,PP,TW,1316.0,,,,,,2025,,,23.5894,120.0289,,,
42,Yunlin (Yunneng) B,Wind,Offshore,PP,TW,1316.0,,,,,,2025,,,23.5894,120.0289,,,
43,Chung-Neng,Wind,Offshore,PP,TW,1211.1,,,,,,2025,,,23.9,120.15,,,
44,Deji,Hydro,Reservoir,PP,TW,241.1,,,,,,1974,,,24.2545,121.1655,,,
45,Chingshan,Hydro,Run-Of-River,PP,TW,379.2,,,,,,2015,,,24.2516,121.1019,,,
46,Kukuan,Hydro,Run-Of-River,PP,TW,224.2,,,,,,2000,,,24.2091,121.024,,,
47,Tienlun,Hydro,Run-Of-River,PP,TW,200.9,,,,,,1952,,,24.1846,120.9228,,,
48,Ma-an,Hydro,Run-Of-River,PP,TW,137.5,,,,,,1998,,,24.1822,120.8411,,,
49,Zhuolan,Hydro,Run-Of-River,PP,TW,82.4,,,,,,2003,,,24.3498,120.8812,,,
50,Wanda,Hydro,Reservoir,PP,TW,57.5,,,,,,2025,,,23.9754,121.1323,,,
51,Songlin,Hydro,Run-Of-River,PP,TW,21.5,,,,,,2025,,,23.9754,121.1323,,,
