series,indicator_en,indicator_zh,kind,year,value,unit,scope,source_id,source_name,locator,link,evidence,note
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2005,0.0895,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2006,0.0881,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2007,0.0868,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2008,0.0868,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2009,0.0868,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2010,0.0868,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2011,0.0813,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2012,0.0813,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2013,0.0813,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2014,0.0813,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2015,0.08,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2016,0.08,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2017,0.08,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2018,0.0806,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2019,0.079,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2020,0.0862,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2021,0.0852,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2022,0.0917,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2023,0.0828,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2024,0.0838,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass,Capacity: Biomass,裝置容量：生質能,history,2025,0.0844,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 再生能源_生質能_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_biomass_waste,Biomass and waste capacity,生質能及廢棄物裝置容量,target,2030,0.81,GW,Taiwan (national),moea_psd_fy2024,"MOEA, supply-demand report 113年度 (FY2024)","Table 3-1, p. 19 (PDF p. 23)",https://data.gov.tw/dataset/16437,downloaded,2024 actual 0.751 GW
capacity_biomass_waste,Biomass and waste capacity,生質能及廢棄物裝置容量,target,2032,0.84,GW,Taiwan (national),moea_psd_fy2024,"MOEA, supply-demand report 113年度 (FY2024)","Table 3-1, p. 19 (PDF p. 23)",https://data.gov.tw/dataset/16437,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2005,17.0281,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2006,18.232,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2007,17.9035,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2008,17.8461,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2009,17.8981,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2010,17.9886,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2011,17.9886,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2012,17.4176,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2013,17.4362,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2014,16.8015,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
capacity_coal,Capacity: Coal,裝置容量：燃煤,history,2015,16.7896,GW,Taiwan (national),moeaea_capacity_annual,"Energy Administration, 發電裝置容量年資料 (annual capacity)",column 火力_燃煤_全國(統計數值),https://data.gov.tw/dataset/16480,downloaded,
