"家庭住宅及主要設備概況","總平均%","新北市%","臺北市%","桃園市%","臺中市%","臺南市%","高雄市%","宜蘭縣%","新竹縣%","苗栗縣%","彰化縣%","南投縣%","雲林縣%","嘉義縣%","屏東縣%","臺東縣%","花蓮縣%","澎湖縣%","基隆市%","新竹市%","嘉義市%"
"住宅所有權為自有(戶內經常居住成員所擁有)","83.95","81.59","82.2","83.7","79.8","86.54","84.27","85.05","90.32","88.31","86.15","88.78","87.56","90","85.59","83.33","80.7","82.55","88.36","89.66","86.52"
"住宅所有權為不住在一起的配偶、父母或子女所擁有","5.61","7.27","4.6","5.35","7.95","4.65","5.14","7.73","4.28","3.08","4.75","2.67","7.15","2.4","5.21","3.15","5.48","7","3.53","2.34","4.46"
"住宅所有權為租押","7.62","9.55","9.31","8.85","9.18","6.21","7.69","5.19","4.06","4.21","6.03","4.71","2.28","4.2","5.29","5.35","10.02","1.96","3.86","5.97","6.78"
"住宅所有權為其他(含配住及借用)","2.82","1.6","3.89","2.11","3.07","2.59","2.89","2.03","1.34","4.4","3.08","3.84","3","3.4","3.91","8.17","3.8","8.49","4.24","2.03","2.24"
"住宅用途為專用","96.55","97.5","99.05","96.47","97.41","94.74","97.25","95.77","94.02","96.54","95.37","90.67","93.8","90.12","96.02","94.63","94.03","98.49","98.71","98.08","92.26"
"住宅用途為併用","3.45","2.5","0.95","3.53","2.59","5.26","2.75","4.23","5.98","3.46","4.63","9.33","6.2","9.88","3.98","5.37","5.97","1.51","1.29","1.92","7.74"
"建築式樣為平房","6.84","2.14","0.95","3.06","4.96","9.51","4.54","7.24","5.99","9.84","15.56","20.15","21.33","27.26","13.76","33.97","25.51","24.71","5.89","3.1","3.85"
"建築式樣為二至三層樓","35.25","12.95","5.85","36.36","37.51","46.89","30.81","74.16","46.54","62.58","63.07","62.3","72.12","65.42","69.17","61.7","64.12","53.3","14.2","32.92","48.18"
"建築式樣為四至五層樓","30.78","45.26","50.32","25.85","29.59","29.46","30.07","12.77","23.17","19.4","17.55","15.85","4.71","7.32","12.56","3.61","8.36","17.5","35.64","32.59","26.67"
"建築式樣為六層樓以上","27.13","39.65","42.88","34.73","27.95","14.14","34.58","5.83","24.31","8.18","3.81","1.69","1.84","0","4.5","0.72","2.01","4.49","44.27","31.39","21.29"
