西元年,單位,總發電裝置容量_全國(統計數值),抽蓄水力_全國(統計數值),火力_全國(統計數值),火力_燃煤_全國(統計數值),火力_燃油_全國(統計數值),火力_燃氣_全國(統計數值),核能_全國(統計數值),再生能源_全國(統計數值),再生能源_慣常水力_全國(統計數值),再生能源_地熱_全國(統計數值),再生能源_太陽光電_全國(統計數值),再生能源_風力_全國(統計數值),再生能源_生質能_全國(統計數值),再生能源_廢棄物_全國(統計數值),總發電裝置容量_台電(統計數值),抽蓄水力_台電(統計數值),火力_台電(統計數值),火力_燃煤_台電(統計數值),火力_燃油_台電(統計數值),火力_燃氣_台電(統計數值),核能_台電(統計數值),再生能源_台電(統計數值),再生能源_慣常水力_台電(統計數值),再生能源_地熱_台電(統計數值),再生能源_太陽光電_台電(統計數值),再生能源_風力_台電(統計數值),總發電裝置容量_民營電廠(統計數值),火力_民營電廠(統計數值),火力_燃煤_民營電廠(統計數值),火力_燃氣_民營電廠(統計數值),再生能源_民營電廠(統計數值),再生能源_慣常水力_民營電廠(統計數值),再生能源_地熱_民營電廠(統計數值),再生能源_太陽光電_民營電廠(統計數值),再生能源_風力_民營電廠(統計數值),總發電裝置容量_自用發電設備(統計數值),火力_自用發電設備(統計數值),火力_燃煤_自用發電設備(統計數值),火力_燃油_自用發電設備(統計數值),火力_燃氣_自用發電設備(統計數值),再生能源_自用發電設備(統計數值),再生能源_慣常水力_自用發電設備(統計數值),再生能源_地熱_自用發電設備(統計數值),再生能源_太陽光電_自用發電設備(統計數值),再生能源_風力_自用發電設備(統計數值),再生能源_生質能_自用發電設備(統計數值),再生能源_廢棄物_自用發電設備(統計數值)
2005,千瓩,43137.38,2602,32783.406,17028.089,4605.667,11149.65,5144,2607.974,1909.73,0,1.04,23.94,89.502,583.762,28893.9,2602,19231.1,8650,3608.7,6972.4,5144,1916.8,1899,0,0,17.8,7230.73,7220,3100,4120,10.73,10.73,0,0,0,7012.75,6332.306,5278.089,996.967,57.25,680.444,0,0,1.04,6.14,89.502,583.762
2006,千瓩,45020.469,2602,34563.736,18231.979,4548.307,11783.45,5144,2710.733,1909.73,0,1.41,101.99,88.141,609.462,30093.7,2602,20400.9,9200,3609.7,7591.2,5144,1946.8,1899,0,0,47.8,7280.53,7220,3100,4120,60.53,10.73,0,0,49.8,7646.239,6942.836,5931.979,938.607,72.25,703.403,0,0,1.41,4.39,88.141,609.462
2007,千瓩,45848.558,2602,35283.636,17903.479,4575.707,12804.45,5144,2818.922,1921.25,0,2.44,185.99,86.78,622.462,30792.5,2602,21015.7,8800,3609.7,8606,5144,2030.8,1899,0,0,131.8,7292.05,7220,3100,4120,72.05,22.25,0,0,49.8,7764.008,7047.936,6003.479,966.007,78.45,716.072,0,0,2.44,4.39,86.78,622.462
2008,千瓩,46324.642,2602,35675.476,17846.119,4553.907,13275.45,5144,2903.166,1937.954,0,5.58,250.39,86.78,622.462,31263.5,2602,21486.7,8800,3609.7,9077,5144,2030.8,1899,0,0,131.8,7373.154,7220,3100,4120,153.154,38.954,0,0,114.2,7687.988,6968.776,5946.119,944.207,78.45,719.212,0,0,5.58,4.39,86.78,622.462
2009,千瓩,47920.972,2602,37144.976,17898.119,4481.407,14765.45,5144,3029.996,1936.954,0,9.51,374.29,86.78,622.462,32311,2602,22487.2,8800,3610.2,10077,5144,2077.8,1898,0,0,179.8,7939.054,7710,3100,4610,229.054,38.954,0,0,190.1,7670.918,6947.776,5998.119,871.207,78.45,723.142,0,0,9.51,4.39,86.78,622.462
2010,千瓩,48843.517,2602,37900.376,17988.619,4185.107,15726.65,5144,3197.141,1977.454,0,34.555,475.89,86.78,622.462,32944.2,2602,23010,8800,3625.6,10584.4,5144,2188.2,1938.5,0,0.5,249.2,7971.254,7710,3100,4610,261.254,38.954,0,0,222.3,7928.063,7180.376,6088.619,559.507,532.25,747.687,0,0,34.055,4.39,86.78,622.462
2011,千瓩,48753.2,2602,37608.076,17988.619,3884.107,15735.35,5144,3399.124,2040.754,0,129.912,522.69,81.336,624.432,32758.4,2602,22717.7,8800,3324.6,10593.1,5144,2294.7,2001.8,0,6.1,286.8,7980.454,7710,3100,4610,270.454,38.954,0,0,231.5,8014.346,7180.376,6088.619,559.507,532.25,833.97,0,0,123.812,4.39,81.336,624.432
2012,千瓩,48379.086,2602,37039.076,17417.619,3886.107,15735.35,5144,3594.01,2081.271,0,231.281,570.99,81.336,629.132,32204.807,2602,22119.7,8200,3326.6,10593.1,5144,2339.107,2042.207,0,10.1,286.8,8028.864,7710,3100,4610,318.864,39.064,0,0,279.8,8145.415,7209.376,6117.619,559.507,532.25,936.039,0,0,221.181,4.39,81.336,629.132
2013,千瓩,48798.823,2602,37236.956,17436.169,3875.037,15925.75,5144,3815.867,2081.271,0,409.938,614.19,81.336,629.132,32218.007,2602,22132.5,8200,3325.4,10607.1,5144,2339.507,2042.207,0,10.5,286.8,8081.294,7710,3100,4610,371.294,39.064,0,9.23,323,8499.522,7394.456,6136.169,549.637,708.65,1105.066,0,0,390.208,4.39,81.336,629.132
2014,千瓩,48412.836,2602,36601.956,16801.469,3832.137,15968.35,5144,4064.88,2081.271,0,635.951,637.19,81.336,629.132,31651.027,2602,21560.5,7600,3325.4,10635.1,5144,2344.527,2042.207,0,15.52,286.8,8110.532,7710,3100,4610,400.532,39.064,0,15.468,346,8651.277,7331.456,6101.469,506.737,723.25,1319.821,0,0,604.963,4.39,81.336,629.132
2015,千瓩,48665.494,2602,36590.136,16789.649,3832.137,15968.35,5144,4329.358,2089.271,0,884.251,646.69,80.014,629.132,31668.947,2602,21560.5,7600,3325.4,10635.1,5144,2362.447,2050.207,0,18.24,294,8119.2,7710,3100,4610,409.2,39.064,0,21.836,348.3,8877.347,7319.636,6089.649,506.737,723.25,1557.711,0,0,844.175,4.39,80.014,629.132
2016,千瓩,49579.398,2602,37107.836,17609.649,3829.837,15668.35,5144,4725.562,2089.271,0,1245.055,682.09,80.014,629.132,32466.647,2602,22358.2,8400,3323.1,10635.1,5144,2362.447,2050.207,0,18.24,294,8162.849,7710,3100,4610,452.849,39.064,0,30.085,383.7,8949.902,7039.636,6109.649,506.737,423.25,1910.266,0,0,1196.73,4.39,80.014,629.132
2017,千瓩,49285.923,2602,36281.414,18350.854,3026.01,14904.55,5144,5258.509,2089.271,0,1767.702,692.39,80.014,629.132,31749.847,2602,21641.4,9200,2570.1,9871.3,5144,2362.447,2050.207,0,18.24,294,8196.363,7710,3100,4610,486.363,39.064,0,53.299,394,9339.713,6930.014,6050.854,455.91,423.25,2409.699,0,0,1696.163,4.39,80.014,629.132
2018,千瓩,52665.79697,2602,39300.470600000000000002,19325.144,3081.696600000000000002,16893.63,4508,6255.32637,2091.467,0.03,2738.11917,713.1512,80.629,631.93,33414.607,2602,23933,10000,2569.1,11363.9,4508,2371.607,2050.207,0,18.24,303.16,8732.35817,8216.3,3110.32,5105.98,516.05817,41.26,0,69.29817,405.5,10518.8318,7151.170600000000000002,6214.824,512.596600000000000002,423.75,3367.6612,0,0.03,2650.581,4.4912,80.629,631.93
2019,千瓩,56138.47203,2602,41866.080600000000000002,21008.154,3071.696600000000000002,17786.23,3872,7798.39143,2092.467,0.3,4149.53943,845.159,78.996,631.93,35385.747,2602,26425.6,11600,2569.1,12256.5,3872,2486.147,2050.207,0,123.58,312.36,8914.01143,8216.3,3110.32,5105.98,697.71143,42.26,0,127.65143,527.8,11838.7136,7224.180600000000000002,6297.834,502.596600000000000002,423.75,4614.533,0,0.3,3898.308,4.999,78.996,631.93
2020,千瓩,57821.909264,2602,41781.918600000000000002,21008.154,2095.084600000000000002,18678.68,3872,9565.990664,2093.197,0.3,5817.208664,937.115,86.24,631.93,35455.465,2602,26341.438,11600,1592.488,13148.95,3872,2640.027,2050.317,0,277.35,312.36,9682.387664,8216.3,3110.32,5105.98,1466.087664,42.15,0,805.487664,618.45,12684.0566,7224.180600000000000002,6297.834,502.596600000000000002,423.75,5459.876,0.73,0.3,4734.371,6.305,86.24,631.93
2021,千瓩,59400.665894,2602,42301.758600000000000002,20994.464,2091.614600000000000002,19215.68,2887,11609.907294,2093.937,4.5,7700.213294,1094.168,85.159,631.93,34570.84,2602,26341.438,11600,1592.488,13148.95,2887,2740.402,2050.317,0,283.845,406.24,11164.670294,8753.3,3110.32,5642.98,2411.370294,42.15,4.2,1683.370294,681.65,13665.1556,7207.020600000000000002,6284.144,499.126600000000000002,423.75,6458.135,1.47,0.3,5732.998,6.278,85.159,631.93
2022,千瓩,61942.551764,2602,42322.134600000000000002,20994.464,2105.990600000000000002,19221.68,2887,14131.417164,2097.98,4.999,9723.747164,1581.055,91.706,631.93,34587.153,2602,26341.438,11600,1592.488,13148.95,2887,2756.715,2054.33,0,287.145,415.24,12239.045164,8753.3,3110.32,5642.98,3485.745164,42.15,4.2,2279.839164,1159.556,15116.3536,7227.396600000000000002,6284.144,513.502600000000000002,429.75,7888.957,1.5,0.799,7156.763,6.259,91.706,631.93
2023,千瓩,64043.988884,2602,41584.714600000000000002,20504.444,2107.450600000000000002,18972.82,1902,17955.274284,2103.654,7.289,12417.685284,2677.422,82.759,666.465,32813.946,2602,25522.29,11100,1592.488,12829.802,1902,2787.656,2059.775,0.84,287.801,439.24,14047.040284,8763.28,3120.3,5642.98,5283.760284,42.15,4.2,3005.421284,2231.989,17183.0026,7299.144600000000000002,6284.144,514.962600000000000002,500.038,9883.858,1.729,2.249,9124.463,6.193,82.759,666.465
2024,千瓩,66788.644746,2602,42169.033600000000000002,19885.344,2187.269600000000000002,20096.42,951,21066.611146,2122.6235,7.489,14281.144946,3905.0467,83.842,666.465,32506.040855,2602,26145.89,10600,1592.488,13953.402,951,2807.150855,2076.328,0.84,290.742855,439.24,15442.680091,8763.28,3120.3,5642.98,6679.400091,42.335,4.2,3173.272091,3459.593,18839.9238,7259.863600000000000002,6165.044,594.781600000000000002,500.038,11580.0602,3.9605,2.449,10817.13,6.2137,83.842,666.465
2025,千瓩,69858.484276,2602,44384.473600000000000002,19309.007,2228.469600000000000002,22846.997,0,22872.010676,2124.4215,7.489,15474.019976,4517.1962,84.389,664.495,32661.527995,2602,27247.981,10050,1592.95,15605.031,0,2811.546995,2076.328,0.84,292.238995,442.14,17620.552981,9868.978,3120.3,6748.678,7751.574981,43.991,4.2,3634.497981,4068.886,19576.4033,7267.514600000000000002,6138.707,635.519600000000000002,493.288,12308.8887,4.1025,2.449,11547.283,6.1702,84.389,664.495
