year,method,table,energy,industry,transport,agriculture,services,residential,total
1990,direct,附表1.1,49123,30124,19646,2946,3621,4005,109465
1991,direct,附表1.1,55126,31963,20888,2700,3529,4238,118443
1992,direct,附表1.1,57508,34410,24033,2672,2989,4446,126058
1993,direct,附表1.1,64745,34835,26103,2675,2490,4359,135206
1994,direct,附表1.1,69487,35876,27540,2721,3018,4461,143103
1995,direct,附表1.1,75214,36956,28822,2777,2446,4596,150810
1996,direct,附表1.1,80103,37942,29801,2805,3175,4754,158579
1997,direct,附表1.1,90168,40323,30536,2475,2482,4851,170835
1998,direct,附表1.1,99375,40360,31844,2041,2948,4950,181518
1999,direct,附表1.1,104827,42269,32772,2040,3128,5410,190446
2000,direct,附表1.1,119268,45284,33207,2362,3205,5398,208724
2001,direct,附表1.1,123880,44234,33267,2455,3538,5181,212554
2002,direct,附表1.1,128157,46373,34542,2459,3487,5107,220123
2003,direct,附表1.1,139316,44211,34509,2811,3952,5042,229841
2004,direct,附表1.1,147288,44551,35859,2977,4120,5133,239929
2005,direct,附表1.1,155014,44008,36846,2627,4227,5235,247956
2006,direct,附表1.1,162298,45309,36771,1647,4272,5033,255330
2007,direct,附表1.1,168580,44845,35419,1091,4232,5047,259215
2008,direct,附表1.1,162125,41410,33216,1543,4226,5017,247537
2009,direct,附表1.1,153989,37874,33541,1169,4264,5030,235868
2010,direct,附表1.1,164270,42612,34652,1113,4203,4857,251708
2011,direct,附表1.1,168491,43691,35107,1123,3898,4786,257097
2012,direct,附表1.1,166837,42515,34284,1259,3635,4672,253201
2013,direct,附表1.1,167023,43307,34209,1274,3812,4484,254109
2014,direct,附表1.1,173749,40384,34666,1343,3928,4411,258480
2015,direct,附表1.1,173697,39575,35506,1287,3941,4469,258475
2016,direct,附表1.1,177211,39653,36584,1276,3720,4537,262982
2017,direct,附表1.1,185763,38112,36202,1203,3779,4402,269461
2018,direct,附表1.1,187957,34729,35202,1515,3593,4145,267142
2019,direct,附表1.1,180289,33809,35438,1518,3620,4137,258811
2020,direct,附表1.1,179510,32777,35715,1328,3790,4269,257390
2021,direct,附表1.1,188460,35331,33905,1318,3739,4170,266922
2022,direct,附表1.1,181789,32279,34696,1368,3875,4135,258142
2023,direct,附表1.1,176886,29516,34616,1532,4050,3980,250579
2024,direct,附表1.1,173004,29035,33892,1615,4074,3687,245307
2025,direct,附表1.1,168338,28224,33357,1585,4494,3544,239542
1990,incl_indirect,附表2.1,15569,50485,19729,3601,9414,10667,109465
1991,incl_indirect,附表2.1,16025,55082,20975,3465,10733,12163,118443
1992,incl_indirect,附表2.1,15742,58902,24138,3405,10966,12906,126058
1993,incl_indirect,附表2.1,17213,61829,26212,3533,12062,14357,135206
1994,incl_indirect,附表2.1,19122,64214,27645,3586,13509,15028,143103
1995,incl_indirect,附表2.1,20194,67413,28929,3730,14128,16416,150810
1996,incl_indirect,附表2.1,21152,70273,29920,3843,15749,17641,158579
1997,incl_indirect,附表2.1,23959,77213,30703,3589,16824,18548,170835
1998,incl_indirect,附表2.1,25615,80660,32035,3078,18624,21507,181518
1999,incl_indirect,附表2.1,26055,86612,32982,3138,19604,22055,190446
2000,incl_indirect,附表2.1,28541,97283,33452,3576,21935,23936,208724
2001,incl_indirect,附表2.1,29659,98215,33509,3661,23031,24478,212554
2002,incl_indirect,附表2.1,29296,102966,34799,3718,24112,25234,220123
2003,incl_indirect,附表2.1,30969,106769,34768,4169,26275,26891,229841
2004,incl_indirect,附表2.1,32735,112782,36144,4355,27055,26859,239929
2005,incl_indirect,附表2.1,35233,114369,37157,4003,28577,28618,247956
2006,incl_indirect,附表2.1,36815,119780,37103,3102,29750,28781,255330
2007,incl_indirect,附表2.1,37617,124555,35904,2546,29600,28994,259215
2008,incl_indirect,附表2.1,34128,118534,33847,2980,29429,28619,247537
2009,incl_indirect,附表2.1,32871,109860,34162,2563,28115,28295,235868
2010,incl_indirect,附表2.1,34734,122639,35288,2503,28601,27943,251708
2011,incl_indirect,附表2.1,35081,127001,35770,2574,28251,28420,257097
2012,incl_indirect,附表2.1,34627,125706,34956,2687,27754,27471,253201
2013,incl_indirect,附表2.1,34372,127630,34893,2696,27513,27005,254109
2014,incl_indirect,附表2.1,37286,127370,35375,2805,27910,27734,258480
2015,incl_indirect,附表2.1,37149,125756,36241,2812,28581,27936,258475
2016,incl_indirect,附表2.1,37282,127008,37336,2817,29022,29518,262982
2017,incl_indirect,附表2.1,37866,130626,37026,2876,30410,30657,269461
2018,incl_indirect,附表2.1,37962,132549,36008,3085,28544,28994,267142
2019,incl_indirect,附表2.1,37525,126770,36239,3061,27212,28004,258811
2020,incl_indirect,附表2.1,36197,125632,36506,2966,26783,29307,257390
2021,incl_indirect,附表2.1,37045,134836,34682,2993,26610,30755,266922
2022,incl_indirect,附表2.1,36642,126625,35514,2977,27205,29180,258142
2023,incl_indirect,附表2.1,33883,121208,35526,3137,27603,29223,250579
2024,incl_indirect,附表2.1,33194,118252,34783,3204,27234,28641,245307
2025,incl_indirect,附表2.1,31721,115142,34293,3113,27085,28188,239542
