西元年,初級能源密集度(公升油當量/千元)(數值),能源消費密集度(公升油當量/千元)(數值),工業部門能源密集度(公升油當量/千元)(數值),服務業部門能源密集度(公升油當量/千元)(數值),電力密集度(度/千元)(數值),能源生產力(元/公升油當量)(數值),國內能源消費彈性值(數值),電力消費彈性值,能源進口值占名目GDP比例(%),平均每人能源消費量(公升油當量/人),平均每人用電量(度/人),平均每人負擔能源進口值(臺幣元/人),進口能源依存度(%),進口石油依存度(%),進口天然氣依存度(%),能源進口率(%),能源進口值占總進口值比例(%),能源供應種類集中度(%),進口原油來源集中度(%),進口天然氣來源集中度(%),發電能源種類集中度(%),備用容量率(%),平均負載(千瓩),尖峰負載(千瓩),負載率(%),線路損失率(%),再生能源供給占初級能源總供給比例(%),再生能源供給占總供給比例(%),再生能源發電占總發電量比例(%),再生能源裝置容量占總裝置容量比例(%),燃料燃燒二氧化碳排放量(百萬公噸),平均每人二氧化碳排放量(公噸CO2/人),二氧化碳排放密集度(公斤CO2/千元),電力排碳係數(公斤CO2e/度)
2005,8.083,5.619,6.719,0.599,17.734289,177.943109,0.297499,0.758322,3045.631,9611.083,41618.92674,97.7463,99.9016,95.0643,7.85921,98.0372,15.9242,59.8106,40.09563397,66.4843,58.7939,16.35,21651.023,30942.9,69.97,4.76,1.8893,1.5602,3.3145,6.0457,247.956072,10.908878,20.128969,0.555
2006,7.845,5.385,6.499,0.588,17.343115,185.700381,0.234299,0.595677,3074.137,9900.638,51955.51071,97.8273,99.9058,96.1089,9.43166,98.0904,17.6351,59.0236,41.1115958,60.581,58.6095,16.05,22439.183,32060.4,69.99,4.85,1.8909,1.5709,3.2878,6.0211,255.33009,11.18718,19.596771,0.562
2007,7.703,5.342,5.929,0.562,16.771129,187.170435,0.877489,0.485562,3245.554,10187.989,62594.43856,97.8391,99.8982,96.6979,10.73416,98.1334,19.5921,58.5754,42.38954532,55.589,58.9489,16.2,23042.916,32790.8,70.27,4.75,1.8955,1.5697,3.4242,6.1483,259.21461,11.310799,18.619461,0.558
2008,7.349,5.06,5.549,0.559,16.367673,197.617107,-5.671591,-2.036058,3087.724,9987.345,83387.2055,97.7299,99.8324,97.3955,14.62218,98.0422,25.09,57.4967,43.55271708,50.2042,58.2238,21.1,22796.097,31320.2,72.78,4.58,2.0134,1.6666,3.4657,6.267,247.536501,10.763535,17.639725,0.555
2009,7.3,5.082,5.341,0.555,15.986356,196.745482,0.729875,2.4204,3040.687,9563.703,53632.02046,97.7533,99.8541,97.383,9.58045,98.1001,21.149,57.8835,42.80427668,48.1718,59.4044,28.1,22101.056,31010.7,71.27,4.86,1.9514,1.6157,3.3948,6.3229,235.867615,10.220276,17.08386,0.543
2010,7.067,4.901,4.936,0.536,15.59738,204.023334,0.616151,0.738179,3223.898,10259.187,67606.94842,97.8529,99.8688,98.2197,11.12695,98.1266,19.328,56.3068,43.30488931,41.3387,57.9839,23.4,23674.056,33022.6,71.69,4.66,1.9426,1.6391,3.497,6.5456,251.708068,10.877173,16.536926,0.534
2011,6.811,4.623,4.76,0.508,15.341285,216.275619,-0.599019,0.536564,3145.822,10437.669,79138.8811,97.7624,99.8659,98.1949,12.86974,98.0147,21.7718,55.3433,45.55853376,46.5195,58.2016,20.6,24319.881,33786.9,71.98,4.76,1.9898,1.726,3.5639,6.9721,257.096516,11.084845,16.292503,0.534
2012,6.609,4.529,4.499,0.492,14.94755,220.794175,0.058039,-0.181322,3139.476,10361.316,84991.29533,97.5201,99.8763,97.7004,13.47465,97.8534,24.1035,55.7786,43.04989633,54.5182,58.1063,22.7,24101.571,33081.4,72.86,4.42,2.1655,1.825,4.2587,7.4288,253.20138,10.880851,15.697047,0.529
2013,6.567,4.547,4.458,0.489,14.828061,219.907408,1.166404,0.670049,3220.125,10500.186,80558.03732,97.5866,99.8843,98.0136,12.31506,97.9159,22.8835,55.385,45.547918,56.4917,57.8314,17.5,24364.007,33957.4,71.75,4.25,2.1409,1.8083,4.3029,7.8195,254.109147,10.885103,15.37163,0.519
2014,6.398,4.404,4.03,0.483,14.505162,227.054852,0.301417,0.516731,3257.696,10729.119,81550.48002,97.7642,99.8626,98.1293,11.73928,98.0589,22.5007,55.3265,42.93113792,52.1826,57.7126,14.7,25025.528,34821.4,71.87,4.09,1.9898,1.6642,3.8178,8.3962,258.480088,11.044442,14.931461,0.518
