西元年,單位,總發電量_全國(統計數值),抽蓄水力_全國(統計數值),火力_全國(統計數值),火力_燃煤_全國(統計數值),火力_燃油_全國(統計數值),火力_燃氣_全國(統計數值),核能_全國(統計數值),再生能源_全國(統計數值),再生能源_慣常水力_全國(統計數值),再生能源_地熱_全國(統計數值),再生能源_太陽光電_全國(統計數值),再生能源_風力_全國(統計數值),再生能源_生質能_全國(統計數值),再生能源_廢棄物_全國(統計數值),總發電量_台電(統計數值),抽蓄水力_台電(統計數值),火力_台電(統計數值),火力_燃煤_台電(統計數值),火力_燃油_台電(統計數值),火力_燃氣_台電(統計數值),核能_台電(統計數值),再生能源_台電(統計數值),再生能源_慣常水力_台電(統計數值),再生能源_地熱_台電(統計數值),再生能源_太陽光電_台電(統計數值),再生能源_風力_台電(統計數值),總發電量_民營電廠(統計數值),火力_民營電廠(統計數值),火力_燃煤_民營電廠(統計數值),火力_燃氣_民營電廠(統計數值),再生能源_民營電廠(統計數值),再生能源_慣常水力_民營電廠(統計數值),再生能源_地熱_民營電廠(統計數值),再生能源_太陽光電_民營電廠(統計數值),再生能源_風力_民營電廠(統計數值),總發電量_自用發電設備(統計數值),火力_自用發電設備(統計數值),火力_燃煤_自用發電設備(統計數值),火力_燃油_自用發電設備(統計數值),火力_燃氣_自用發電設備(統計數值),再生能源_自用發電設備(統計數值),再生能源_慣常水力_自用發電設備(統計數值),再生能源_地熱_自用發電設備(統計數值),再生能源_太陽光電_自用發電設備(統計數值),再生能源_風力_自用發電設備(統計數值),再生能源_生質能_自用發電設備(統計數值),再生能源_廢棄物_自用發電設備(統計數值)
2005,百萬度,227512.250103967,3838.51825,176160.778896739,120044.189024724,17200.781677366,38915.808194649,39972.008,7540.944957228,4071.373596,0,0.96,91.300426,323.477937784,3053.832997444,147466.595023,3838.51825,99551.530939,65769.881649,10919.572807,22862.076483,39972.008,4104.537834,4027.543073,0,0,76.994761,37564.4264,37520.595877,21971.547503,15549.048374,43.830523,43.830523,0,0,0,42481.228680967,39088.652080739,32302.759872724,6281.208870366,504.683337649,3392.576600228,0,0,0.96,14.305665,323.477937784,3053.832997444
2006,百萬度,235530.125534959,3910.666721,184005.112599786,124048.803470219,19846.587058201,40109.722071366,39870.4978,7743.848414173,4088.350767,0,1.457,276.074732,321.292224141,3056.673691032,156172.649602,3910.666721,108189.145303,68793.988027,14465.002744,24930.154532,39870.4978,4202.339778,4028.148429,0,0,174.191349,37025.991072,36875.636987,22190.823454,14684.813533,150.354085,60.202338,0,0,90.151747,42331.484860959,38940.330309786,33063.991989219,5381.584314201,494.754006366,3391.154551173,0,0,1.457,11.731636,321.292224141,3056.673691032
2007,百萬度,243116.583980958,3932.70126,190319.910786254,128462.814514698,16823.862706273,45033.233565283,40539.16,8324.811934704,4417.549905,0,2.18,439.534507,302.26746282,3163.280059884,161152.648897,3932.70126,112082.289267,70657.377679,12198.480954,29226.430634,40539.16,4598.49837,4322.035413,0,0,276.462957,37643.442498,37395.026035,22342.978814,15052.047221,248.416463,95.514492,0,0,152.901971,44320.492585958,40842.595484254,35462.458021698,4625.381752273,754.755710283,3477.897101704,0,0,2.18,10.169579,302.26746282,3163.280059884
2008,百萬度,238305.365302959,3467.1645,185752.281676961,122201.790850544,15038.686699867,48511.80412655,40826.8596,8259.059525998,4305.105175,0,4.473143,588.265167,272.488618017,3088.727422981,162044.704469,3467.1645,113317.123961,69218.3003,11446.325787,32652.497874,40826.8596,4433.556408,4160.770365,0,0.096286,272.689757,36930.987497,36480.256784,21361.037957,15119.218827,450.730713,144.33481,0,0,306.395903,39329.673336959,35954.900931961,31622.452593544,3592.360912867,740.08742555,3374.772404998,0,0,4.376857,9.179507,272.488618017,3088.727422981
2009,百萬度,230037.159329963,3305.104383,177351.401062167,120667.963627329,9402.803992879,47280.633441959,41571.1288,7809.525084796,3748.28819,0,9.112535,786.635449,229.349505573,3036.139405223,150129.584693,3305.104383,101280.104657,64304.685246,6126.430248,30848.989163,41571.1288,3973.246853,3601.469201,0,0.098128,371.679524,40172.427933,39618.930041,23906.526182,15712.403859,553.497892,146.818989,0,0,406.678903,39735.146703963,36452.366364167,32456.752199329,3276.373744879,719.240419959,3282.780339796,0,0,9.014407,8.277022,229.349505573,3036.139405223
2010,百萬度,247058.866974961,3060.998999,193729.420833419,122352.724315512,11130.82776258,60245.868755327,41628.6891,8639.758042542,4194.101306,0,21.727004,1026.337795,270.037645284,3127.554292258,165008.727945,3060.998999,115726.624641,64902.220657,8254.656848,42569.747136,41628.6891,4592.415205,4073.351615,0,3.860211,515.203379,41422.661976,40801.075196,24070.030627,16731.044569,621.58678,120.749691,0,0,500.837089,40627.477053961,37201.720996419,33380.473031512,2876.17091458,945.077050327,3425.756057542,0,0,17.866793,10.297327,270.037645284,3127.554292258
2011,百萬度,252167.014235958,2902.108,198161.354416122,124467.954225931,9487.809302338,64205.590887853,42116.4908,8987.061019836,3999.726499,0,61.622537,1492.676671,236.091087292,3196.944225544,170066.874816,2902.108,120353.48123,67896.792575,7307.676672,45149.011983,42116.4908,4694.794786,3883.184434,0,8.643787,802.966565,42280.370382,41480.573862,23225.540483,18255.033379,799.79652,116.542065,0,0,683.254455,39819.769037958,36327.299324122,33345.621167931,2180.132630338,801.545525853,3492.469713836,0,0,52.97875,6.455651,236.091087292,3196.944225544
2012,百萬度,250373.42481296,2936.9005,196352.086803891,122436.775864632,7623.246380769,66292.06455849,40421.7298,10662.707709069,5669.557962,0,159.869831,1413.468482,242.070124744,3177.741309325,172749.573371,2936.9005,123128.864109,67500.061161,5659.842872,49968.960076,40421.7298,6262.078962,5512.326012,0,13.207962,736.544988,40059.547978,39233.982837,23680.67685,15553.305987,825.565141,157.23195,0,0,668.333191,37564.30346396,33989.239857891,31256.037853632,1963.403508769,769.79849549,3575.063606069,0,0,146.661869,8.590303,242.070124744,3177.741309325
2013,百萬度,252340.814503947,3187.087,196656.221589804,121449.089964881,6818.130978999,68389.000645924,41639.36,10858.145914143,5422.889721,0,321.096236,1640.007611,228.480693489,3245.671652654,171278.224224,3187.087,120414.143652,63813.0316,5275.254669,51325.857383,41639.36,6037.633572,5272.801374,0,16.75795,748.074248,40531.541412,39491.842188,23077.629436,16414.212752,1039.699224,150.088347,0,5.815811,883.795066,40531.048867947,36750.235749804,34558.428928881,1542.876309999,648.930510924,3780.813118143,0,0,298.522475,8.138297,228.480693489,3245.671652654
2014,百萬度,259963.935447945,3121.17,204528.72473619,123444.701742587,8013.868252256,73070.154741347,42388.975,9925.065711755,4317.861918,0,528.762129,1500.484383,252.466961581,3325.490320174,176094.86721,3121.17,125672.144761,64167.106,6603.513718,54901.525043,42388.975,4912.577449,4183.094093,0,22.947054,706.536302,41626.407092,40684.862583,23107.24916,17577.613423,941.544509,134.767825,0,19.851495,786.925189,42242.661145945,38171.71739219,36170.346582587,1410.354534256,591.016275347,4070.943753755,0,0,485.96358,7.022892,252.466961581,3325.490320174
