county,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
基隆市,41.16,0,465.30,0,242.100,1462.31,22289.535,3396.800,3395.400,1177.645,5932.120
臺北市,185.48,2386.64,7926.11,13912.38,8623.465,7440.46,33407.580,13822.145,12007.516,3986.875,6490.125
新北市,3928.07,3342.24,4446.97,10626.10,16667.620,30658.06,59897.345,57536.625,25629.011,30316.805,37300.465
桃園市,9254.87,38137.25,87008.04,137669.03,73588.575,111529.70,137386.045,184670.622,146346.990,119209.923,120205.525
新竹縣,2541.60,8724.30,50317.53,35759.28,22509.380,24686.17,40915.060,39847.564,30836.370,23541.243,28078.812
新竹市,1319.33,204.78,7804.77,12438.10,2743.470,4157.12,12071.260,13532.935,8666.540,6904.795,6645.150
宜蘭縣,1475.94,7335.27,7805.89,15626.59,18601.015,47427.31,56626.194,28077.875,43335.235,22038.455,25458.665
苗栗縣,1703.80,12893.14,39485.54,48032.44,68634.636,102693.98,77356.327,114889.045,45075.575,66104.450,53727.000
臺中市,14829.60,19413.10,63016.51,104662.62,95269.330,107585.68,131876.884,160434.963,155794.748,138508.803,115650.243
彰化縣,42055.58,86375.63,232204.34,200212.50,320605.100,459832.18,213162.392,419867.098,252369.762,254118.491,184847.907
雲林縣,82562.60,81178.96,130744.75,314737.55,236395.745,323443.99,300368.134,501998.390,204500.190,94729.775,92334.360
南投縣,5962.53,5752.34,19060.46,19871.34,16941.337,29258.04,64693.596,48838.735,71920.855,52682.270,33368.965
嘉義縣,31044.00,33204.96,79024.54,190005.92,167621.600,200981.46,148687.870,406655.815,201646.860,289246.339,248592.300
嘉義市,4240.01,434.10,5547.46,4999.51,2984.130,7691.68,12809.000,8708.545,6733.220,7720.470,8623.565
臺南市,64089.00,78118.00,210126.54,345738.71,628908.393,676318.16,495708.575,1238712.970,340479.120,538085.351,263206.236
高雄市,28486.31,62673.81,136716.48,185376.36,161975.015,141540.04,295036.785,386035.909,254968.620,187459.635,156383.485
屏東縣,21927.28,33877.45,106923.09,181840.22,291767.055,460967.01,150769.585,390024.465,295111.725,107766.760,87511.163
花蓮縣,47.31,728.78,4732.77,15612.89,24438.845,12108.26,115303.463,23764.625,36546.775,31234.190,10963.210
臺東縣,708.50,2994.15,3382.27,10830.88,8863.720,15139.03,24922.955,10158.430,20860.410,9767.910,12186.430
澎湖縣,3617.11,2283.54,4998.15,4743.86,2005.200,0,6886.180,45873.960,6717.415,10079.945,5870.010
金門縣,3104.43,2348.32,2074.32,1505.40,1278.285,1107.23,3655.620,6539.510,1243.700,9376.590,9390.875
連江縣,0,0,0,76.00,0,0,58.290,0,0,0,487.860
