series,indicator_en,indicator_zh,kind,year,value,unit,scope,source_name,link,locator,evidence,note
night_peak_load,Night peak load,夜尖峰負載,projection,2025,36888,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,2025 is an actual value in the report
night_peak_load,Night peak load,夜尖峰負載,projection,2026,38106,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2027,39304,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2028,40338,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2029,41183,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2030,42220,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2031,43154,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2032,44092,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2033,45046,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,projection,2034,45973,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_peak_load,Night peak load,夜尖峰負載,history,2024,37301,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 2.2(3),downloaded,Actual
night_peak_load,Night peak load,夜尖峰負載,history,2023,36146,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 2.2(3),downloaded,Derived: 2024 value minus the reported 1155 MW increase
