name,name_zh,basis
Tatan,大潭發電廠,Taipower plant name (unit label 大潭CC in Taipower's unit list)
Tunghsiao,通霄發電廠（複循環）,Taipower plant name (通霄CC)
Tunghsiao GT,通霄發電廠（氣渦輪）,Taipower plant name (通霄GT)
Hsinta new CC,興達發電廠（新複循環）,Taipower plant name (興達新CC)
Hsinta CC,興達發電廠（複循環）,Taipower plant name (興達CC)
Nanpu,南部發電廠,Taipower plant name (南部CC)
Talin gas,大林發電廠（燃氣）,Taipower plant name (大林#6)
Taichung new CC,台中發電廠（新複循環）,Taipower plant name (台中CC)
Hai-Fu (Ever Power),海湖電廠（長生電力）,IPP plant name (海湖)
Hsintao,新桃電廠,IPP plant name (新桃)
Kuokuang,國光電廠,IPP plant name (國光)
Star Buck (Changbin),星彰電廠,IPP plant name (星彰)
Star Yuan (Changbin),星元電廠,IPP plant name (星元)
Chiahui,嘉惠電廠,IPP plant name (嘉惠)
Sun Ba Fong Der,豐德電廠（森霸電力）,IPP plant name (豐德)
Linkou,林口發電廠,Taipower plant name (林口)
Taichung coal,台中發電廠（燃煤）,Taipower plant name (台中#)
Hsinta coal,興達發電廠（燃煤）,Taipower plant name (興達#4)
Talin coal,大林發電廠（燃煤）,Taipower plant name (大林#1-2)
Ho-Ping,和平電廠,IPP plant name (和平)
Hsieh-ho,協和發電廠,Taipower plant name (協和)
Taichung GT (oil),台中發電廠（氣渦輪，燃油）,Taipower plant name (台中Gas)
Deji,德基水力,Taipower unit list (德基)
Chingshan,青山水力,Taipower unit list (青山)
Kukuan,谷關水力,Taipower unit list (谷關)
Tienlun,天輪水力,Taipower unit list (天輪)
Ma-an,馬鞍水力,Taipower unit list (馬鞍)
Zhuolan,卓蘭水力,Taipower unit list (卓蘭)
Wanda,萬大水力,Taipower unit list (萬大)
Songlin,松林水力,Taipower unit list (松林)
Takuan I,大觀一廠,Taipower unit list (大觀一)
Chukung,鉅工水力,Taipower unit list (鉅工)
Shuili,水里水力,Taipower unit list (水里)
Liwu,立霧水力,Taipower unit list (立霧)
Longjian,龍澗水力,Taipower unit list (龍澗)
Bihai,碧海水力,Taipower unit list (碧海)
Wulai/Gueishan/Cukeng,烏來、桂山、粗坑水力,Taipower unit list (烏來&桂山&粗坑)
Small hydro north,北部小水力,Taipower unit list (北部小水力)
Small hydro central,中部小水力,Taipower unit list (中部小水力)
Small hydro south,南部小水力,Taipower unit list (南部小水力)
Small hydro east,東部小水力,Taipower unit list (東部小水力)
Feitsui,翡翠水力,Taipower unit list (翡翠)
