match,name,fueltype,technology,set,duration_h,lat,lon,coord_source,note,datein,datein_source
大潭CC,Tatan,CCGT,CCGT,PP,,25.0253,121.0458,OSM r18726493,,2006,powerplantmatching
通霄CC,Tunghsiao,CCGT,CCGT,PP,,24.4906,120.6714,OSM w181171613,,2025,placeholder 2025
通霄GT,Tunghsiao GT,OCGT,OCGT,PP,,24.4906,120.6714,OSM w181171613,,2025,placeholder 2025
興達新CC,Hsinta new CC,CCGT,CCGT,PP,,22.8523,120.1973,OSM w226576525,,2025,placeholder 2025
興達CC,Hsinta CC,CCGT,CCGT,PP,,22.8523,120.1973,OSM w226576525,,1998,powerplantmatching
南部CC,Nanpu,CCGT,CCGT,PP,,22.6005,120.3005,OSM r6358152,,1995,powerplantmatching
大林#6,Talin gas,CCGT,CCGT,PP,,22.5353,120.3337,OSM w204129566,,2025,placeholder 2025
台中CC,Taichung new CC,CCGT,CCGT,PP,,24.2152,120.4815,OSM w200691649,new gas units on the Taichung site; ratings in supplementary_units.csv,2026,CNA 2026-09-04 (commercial operation 2026-2027)
海湖,Hai-Fu (Ever Power),CCGT,CCGT,PP,,25.1159,121.2567,OSM w114411959,IPP,1999,powerplantmatching
新桃,Hsintao,CCGT,CCGT,PP,,24.8141,121.1979,OSM w365285231,IPP,2002,powerplantmatching
國光,Kuokuang,CCGT,CCGT,PP,,25.0419,121.3424,OSM w538753336,IPP,2003,powerplantmatching
星彰,Star Buck (Changbin),CCGT,CCGT,PP,,24.1271,120.4317,OSM w915288818,IPP,2009,powerplantmatching
星元,Star Yuan (Changbin),CCGT,CCGT,PP,,24.1287,120.4214,OSM w915269327,IPP,2004,powerplantmatching
嘉惠,Chiahui,CCGT,CCGT,PP,,23.5332,120.4732,OSM w507020797,IPP,2003,powerplantmatching
豐德,Sun Ba Fong Der,CCGT,CCGT,PP,,23.0822,120.3564,OSM w151212447,IPP; powerplantmatching places it in Chiayi,2004,powerplantmatching
林口,Linkou,Hard Coal,Steam Turbine,PP,,25.12,121.2991,OSM w199146681,,2016,powerplantmatching
台中#,Taichung coal,Hard Coal,Steam Turbine,PP,,24.2152,120.4815,OSM w200691649,,1991,powerplantmatching
興達#4,Hsinta coal,Hard Coal,Steam Turbine,PP,,22.8523,120.1973,OSM w226576525,units 1-3 not counted by Taipower,1982,powerplantmatching
大林#1,Talin coal,Hard Coal,Steam Turbine,PP,,22.5353,120.3337,OSM w204129566,,2025,placeholder 2025
大林#2,Talin coal,Hard Coal,Steam Turbine,PP,,22.5353,120.3337,OSM w204129566,,2025,placeholder 2025
和平,Ho-Ping,Hard Coal,Steam Turbine,PP,,24.3066,121.7657,OSM w274895730,IPP,2002,powerplantmatching
協和,Hsieh-ho,Oil,Steam Turbine,PP,,25.1569,121.7387,OSM r10757938,,2025,placeholder 2025
台中Gas,Taichung GT (oil),Oil,OCGT,PP,,24.2152,120.4815,OSM w200691649,gas turbines on the Taichung site,2025,placeholder 2025
德基,Deji,Hydro,Reservoir,PP,,24.2545,121.1655,powerplantmatching,Dajia river; Deji reservoir,1974,powerplantmatching
青山,Chingshan,Hydro,Run-Of-River,PP,,24.2516,121.1019,powerplantmatching,Dajia river cascade,2015,powerplantmatching
谷關,Kukuan,Hydro,Run-Of-River,PP,,24.2091,121.024,powerplantmatching,Dajia river cascade,2000,powerplantmatching
天輪,Tienlun,Hydro,Run-Of-River,PP,,24.1846,120.9228,powerplantmatching,Dajia river cascade,1952,powerplantmatching
馬鞍,Ma-an,Hydro,Run-Of-River,PP,,24.1822,120.8411,powerplantmatching,Dajia river cascade,1998,powerplantmatching
卓蘭,Zhuolan,Hydro,Run-Of-River,PP,,24.3498,120.8812,powerplantmatching,,2003,powerplantmatching
萬大,Wanda,Hydro,Reservoir,PP,,23.9754,121.1323,OSM w172736809,Wushe reservoir,2025,placeholder 2025
松林,Songlin,Hydro,Run-Of-River,PP,,23.9754,121.1323,OSM w172736809,located with Wanda,2025,placeholder 2025
大觀一,Takuan I,Hydro,Reservoir,PP,,23.8524,120.871,OSM w976767036,Sun Moon Lake,2025,placeholder 2025
鉅工,Chukung,Hydro,Reservoir,PP,,23.8181,120.8569,OSM w225470941,Sun Moon Lake,2025,placeholder 2025
水里,Shuili,Hydro,Run-Of-River,PP,,23.8117,120.8539,powerplantmatching,,1992,powerplantmatching
立霧,Liwu,Hydro,Run-Of-River,PP,,24.1551,121.6272,OSM w227669295,,2025,placeholder 2025
龍澗,Longjian,Hydro,Run-Of-River,PP,,24.0037,121.426,OSM w749133167,,1959,powerplantmatching
碧海,Bihai,Hydro,Run-Of-River,PP,,24.334,121.6416,OSM r7346491,,2025,placeholder 2025
烏來&桂山&粗坑,Wulai/Gueishan/Cukeng,Hydro,Run-Of-River,PP,,24.9025,121.5612,OSM w497030590,,2025,placeholder 2025
北部小水力,Small hydro north,Hydro,Run-Of-River,PP,,24.6953,121.0978,OSM w513427431,regional representative location,2025,placeholder 2025
中部小水力,Small hydro central,Hydro,Run-Of-River,PP,,24.2702,120.7919,OSM w266319475,regional representative location,2025,placeholder 2025
南部小水力,Small hydro south,Hydro,Run-Of-River,PP,,23.2305,120.4473,OSM w367004758,regional representative location,2025,placeholder 2025
東部小水力,Small hydro east,Hydro,Run-Of-River,PP,,23.9677,121.4566,OSM w749136435,regional representative location,2025,placeholder 2025
翡翠,Feitsui,Hydro,Reservoir,PP,,24.9095,121.5772,OSM w497030578,Feitsui reservoir,2025,placeholder 2025
石門,Shihmen,Hydro,Reservoir,PP,,24.8132,121.2438,OSM w518956917,Shihmen reservoir,1964,powerplantmatching
曾文,Tsengwen,Hydro,Reservoir,PP,,23.2479,120.5329,OSM w962954457,Tsengwen reservoir,2025,placeholder 2025
