topic,indicator_en,indicator_zh,value,unit,year,scope,source_name,link,evidence,note
capacity,Installed capacity (model fleet),裝置容量（模型機組）,64.0,GW,2026-09,Taipower system,Taipower real-time unit list + new units,https://data.gov.tw/dataset/8931,downloaded,"Includes 3.9 GW of new gas units in trial operation; outlying islands, cogeneration and 68 MW geothermal/biomass left out"
capacity,Gas,燃氣,26.2,GW,2026-09,Taipower system,Taipower real-time unit list + new units,https://data.gov.tw/dataset/8931,downloaded,Includes IPPs and Taichung CC #1-2 / Hsinta new CC #3 (1.3 GW each)
capacity,Coal,燃煤,11.4,GW,2026-09,Taipower system,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,Excludes industrial self-generation such as Mailiao
capacity,Solar PV,太陽光電,15.4,GW,2026-09,Taipower system,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,
capacity,Offshore wind,離岸風電,3.4,GW,2026-09,Taipower system,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,
capacity,Onshore wind,陸域風電,0.81,GW,2026-09,Taipower system,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,
capacity,Conventional hydro,慣常水力,2.1,GW,2026-09,Taipower system,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,
capacity,Pumped hydro,抽蓄水力,2.6,GW,2026-09,Taipower system,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,"Mingtan 1.6 GW, Takuan II 1.0 GW; about 6 h at full load"
capacity,Battery storage,電池儲能,0.85,GW,2026-09,Taipower system,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,
capacity,Nuclear,核能,0,GW,2026-09,Taiwan,Taipower real-time unit list,https://data.gov.tw/dataset/8931,downloaded,No reactor in the list; Maanshan 2 shut down in May 2025
capacity,Taipower system installed capacity,台電系統裝置容量,59.8,GW,2025,Taipower system,Taipower historical installed capacity,https://www.taipower.com.tw/2764/2826/2829/2834/25101/normalPost,search_summary,59842 MW; thermal 58.7%
capacity,Coal (national),燃煤（全國）,19.9,GW,2024,Taiwan (national),Energy Administration capacity overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14438,search_summary,National totals include self-generation
capacity,Gas (national),燃氣（全國）,20.1,GW,2024,Taiwan (national),Energy Administration capacity overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14438,search_summary,
capacity,Renewables (national),再生能源（全國）,21.1,GW,2024,Taiwan (national),Energy Administration capacity overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14438,search_summary,"Solar 67.8%, wind 18.5%, hydro incl. pumped 10.1%, biomass and waste 3.6%"
capacity,Solar PV approved 2015-2025,太陽光電核准容量 2015-2025,21.0,GW,2015-2025,Taiwan (by county),Energy Administration solar approvals,https://data.gov.tw/dataset/16423,downloaded,Approvals (同意備案); more than what was built
demand,Peak load,尖峰負載,40.88,GW,2024,Taipower system,Taipower annual peak load,https://data.gov.tw/dataset/8307,downloaded,Net peak 40882 MW; reserve margin 11.0%
demand,Peak load,尖峰負載,40.75,GW,2025,Taipower system,Taipower annual peak load,https://data.gov.tw/dataset/8307,downloaded,Net peak 40752 MW; night-time reserve margin 14.2%
demand,Electricity consumption,電力消費,283.8,TWh,2024,Taiwan (national),Energy Administration energy consumption overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14436,search_summary,Record high
demand,Industry share of consumption,工業部門用電占比,55.2,%,2024,Taiwan (national),Energy Administration energy consumption overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14436,search_summary,156.6 TWh
demand,Residential share of consumption,住宅部門用電占比,18.8,%,2024,Taiwan (national),Energy Administration energy consumption overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14436,search_summary,53.4 TWh
demand,Services share of consumption,服務業部門用電占比,17.6,%,2024,Taiwan (national),Energy Administration energy consumption overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14436,search_summary,50.0 TWh
demand,Energy sector share of consumption,能源部門用電占比,6.5,%,2024,Taiwan (national),Energy Administration energy consumption overview,https://www.moeaea.gov.tw/ECW/populace/content/Content.aspx?menu_id=14436,search_summary,18.5 TWh
